	Antisense.PfBloodR1	Antisense.PfBloodR2	Sense.PfBloodR1	Sense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Sense.PfOocystR1	Sense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_1130400	0.508759158670988	0.955545602456389	6.93057447411624	6.47583741554272	1.19886397615421	1.55803195240818	7.86120281025137	7.77196342689558	0.293068800494026	1.6139958596507	6.1769132945491	3.82782000605601
PF3D7_1130700	2.50875915816401	4.04300844326913	5.70515436013614	7.13755711559645	0.198863976782672	2.83813987165856	5.58818431584495	5.87188949276636	2.2930688007884	1.6139958596507	3.11801960539583	4.24285750584284
PF3D7_1131100	0.508759158670988	2.54050810317755	5.31813123698435	6.29998758009528	2.19886397615421	2.07260512533593	5.38788566558882	3.9429725912637	2.2930688007884	3.19895836037186	6.62051994598366	6.63517492854903
PF3D7_1131800	3.67868415977531	4.20347311550844	7.65111452025648	8.42774312719745	1.19886397615421	1.33563953082675	6.25956156850912	6.21407642664734	4.61499689597013	4.19895836037186	10.8413961346207	10.3435198444622
PF3D7_1131900	2.50875915816401	-0.0444543975436109	1.20265401958852	1.13006257850649	2.19886397615421	2.07260512533593	4.83329681401886	4.10051386779734	3.99350851926914	3.93592395406675	7.92537452747717	7.97077796031978
PF3D7_1132000	2.09372165905416	2.54050810317755	6.17228037065169	6.37799009201946	3.36878897822498	2.83813987165856	6.30903024476919	6.38719111565618	3.75250041902428	4.11649620031851	9.39724324927119	9.33561464685759
PF3D7_1132400	2.50875915816401	3.27747369734375	6.26154770870477	7.97555262970879	3.36878897822498	3.50556453258663	8.05246533432479	8.08331079634736	3.10042372288805	2.83638828085249	7.5554249174347	7.3721405225701
PF3D7_1133000	2.50875915816401	3.54050810317755	5.20265401974522	6.66404115077914	1.78382647708485	1.07260512533593	4.41825931440264	3.9429725912637	0.293068800494026	0.0290333594008652	4.85498519956204	4.94329722410116
PF3D7_1133500	0.508759158670988	-0.0444543975436109	1.61769151902406	2.13006257850649	0.198863976782672	-0.249322969894402	1.83329681381643	1.70196449152113	0.293068800494026	1.6139958596507	5.85498519956204	5.88671369567852
PF3D7_1133800	2.50875915816401	4.54050810317755	7.43787048121044	8.8118866185958	2.78382647708485	2.83813987165856	7.06211550417736	7.23405471839848	0.293068800494026	1.02903335869389	5.85498519956204	5.99774500794987
PF3D7_1134000	1.50875915816401	3.76290052451399	7.7157236016586	7.77391876828121	5.28632681766333	4.81676622069135	10.2689670748129	10.37695919319	2.2930688007884	2.02903335869389	10.2541562938331	9.02421721922896
PF3D7_1135100	4.31611408014918	3.27747369734375	9.26154770879879	7.57300607421126	0.198863976782672	1.75067703053431	5.32514991001116	4.61757230381404	0.293068800494026	0.0290333594008652	4.85498519956204	3.82782000605601
PF3D7_1135900	1.50875915816401	1.54050810317755	5.68378070944675	6.40308107301519	1.78382647708485	0.750677030105598	6.86671981480687	6.72231313714646	1.29306880108276	1.6139958596507	4.70298210606159	5.41278250711582
PF3D7_1136900	1.50875915816401	2.54050810317755	4.61769151902406	5.97136483262539	0.198863976782672	0.335639531398374	4.87769093303994	5.10051386779734	4.10042372305626	4.6139958596507	10.4755716100666	10.7644579455977
PF3D7_1137800	0.508759158670988	1.95554560245639	0.617691518553953	2.54510007803252	0.198863976782672	1.75067703053431	1.41825931440264	-0.757467128003038	6.48289335980955	6.68724484142468	14.2846011634873	14.2857138436026
PF3D7_1138000	2.09372165905416	3.41497722041739	5.42504644108167	7.10734250168205	0.198863976782672	-1.24932296817954	1.41825931440264	1.94297259088849	0.293068800494026	1.6139958596507	5.11801960547892	5.05021242768274
PF3D7_1138900	2.83068725315276	2.76290052451399	2.20265401958852	3.71502507900792	2.78382647708485	3.87996004729554	3.29272843241693	4.0238925864085	2.2930688007884	2.6139958596507	2.53305710467467	2.8278200064624
PF3D7_1139300	4.75668667142081	3.1254706038987	9.21014855640176	7.80719492345825	2.52079207116726	3.45111674890625	6.78749312450368	6.99407693228571	0.293068800494026	0.0290333594008652	5.34041202687471	5.24285750584284
PF3D7_1139400	3.96819077666303	4.3478630248809	2.42504644101451	4.40308107284471	3.19886397631132	3.99860454400046	2.15522490878477	2.32999571410809	3.46299380206717	3.48846497778108	4.85498519956204	3.82782000605601
PF3D7_1139800	2.09372165905416	1.95554560245639	5.82714488471654	5.03695317433472	1.19886397615421	1.55803195240818	4.58818431584495	4.54631362103849	0.293068800494026	1.6139958596507	4.11801960506349	4.56478560042541
PF3D7_1142100	3.09372165888516	3.1254706038987	8.05648337181232	7.97136483262539	3.19886397631132	3.21010864889879	6.98304393356631	7.17622352808635	2.2930688007884	2.83638828085249	8.08764595642656	8.3721405225701
PF3D7_1142300	2.09372165905416	-0.0444543975436109	5.23240136299536	4.67438309501279	2.52079207116726	0.750677030105598	5.11869903254373	5.47135156314322	3.87803130200017	4.02903335922412	9.75705877890446	9.62656179834427
PF3D7_1142800	1.50875915816401	1.54050810317755	2.61769151902406	3.93741750065826	3.52079207167003	4.1769417850071	6.10008335451659	6.30322880445181	1.87803130160767	1.02903335869389	1.53305710467467	1.24285750553805
PF3D7_1143100	4.09372165905416	5.34786302523515	8.57769345106383	9.82818843091408	1.19886397615421	1.55803195240818	5.29272843256415	5.87915749337401	4.19995939649504	4.19895836037186	10.4637944425726	10.3062525866044
PF3D7_1143300	2.09372165905416	2.76290052451399	6.30419204627575	4.97136483262539	2.19886397615421	2.21010864889879	6.3410914539395	5.98399985917309	1.87803130160767	1.02903335869389	3.11801960539583	2.24285750584284
PF3D7_1143400	2.09372165905416	0.955545602456389	6.15685033015737	4.83050229659687	1.78382647708485	2.21010864889879	7.17314681656611	6.92903340050619	1.87803130160767	2.35096145372265	4.53305710455004	4.05021242768274
PF3D7_1143700	1.50875915816401	2.54050810317755	5.01000894191476	6.05289471822306	1.19886397615421	-1.24932296817954	1.83329681381643	2.24253287260669	0.293068800494026	0.0290333594008652	4.99248872335729	4.24285750584284
PF3D7_1143800	4.09372165905416	0.955545602456389	7.14125347497888	4.0045316966024	1.78382647708485	2.21010864889879	6.32514991019109	6.19672918313124	1.87803130160767	2.83638828085249	6.92537452747717	6.5647856007302
PF3D7_1145100	3.50875915791051	2.76290052451399	7.4568953072955	6.78350481673063	2.78382647708485	2.92060203173845	6.85566462712517	6.92903340050619	0.293068800494026	1.02903335869389	6.11801960547892	6.33032034700354
PF3D7_1145400	2.50875915816401	3.1254706038987	8.23974333849237	8.31328440281625	0.198863976782672	1.33563953082675	6.82198150087869	6.74237875924186	1.29306880108276	0.0290333594008652	7.31441681779146	7.99774500817564
PF3D7_1145600	1.50875915816401	1.95554560245639	3.7051543598596	4.79302759112484	3.36878897822498	3.7506770301056	5.08122432740918	4.50931941345204	3.10042372288805	3.02903335887063	5.43994770044936	5.63517492869417
PF3D7_1146600	0.508759158670988	2.27747369734375	4.47567251423269	5.63256291926831	0.198863976782672	2.21010864889879	5.85566462687603	5.77391433330427	2.61499689585238	3.72947307688936	8.23349682293081	8.42276659570012
PF3D7_1148100	8.34164917249774	9.16499896793454	2.78761652051861	3.86702817267269	7.45625181890026	6.58988081846464	6.00322181534871	4.88638906274725	7.13855885230871	7.04026061473643	6.89060910954809	7.35138196220137
PF3D7_1202300	4.20919887595411	4.95554560245639	7.66754006851898	9.0004272982082	1.19886397615421	1.33563953082675	4.35685877020789	3.76609482869021	0.293068800494026	0.0290333594008652	3.11801960539583	1.24285750553805
PF3D7_1202500	7.23667961321506	7.16499896768322	12.4551223492284	12.878534993292	7.76871958445208	6.50556453242785	9.47354175010676	7.89895773577038	7.380531641779	7.42991279494679	10.6337194435609	10.5511965360447
PF3D7_1202600	2.50875915816401	1.95554560245639	5.70515436013614	5.06866203410028	3.19886397631132	2.92060203173845	6.53373653192638	6.41745855524028	3.29306880093558	3.48846497778108	9.37854715568407	9.39767561492168
PF3D7_1202700	1.50875915816401	-0.0444543975436109	4.86561903234394	3.54510007852689	0.198863976782672	1.07260512533593	5.76403415133286	4.91495821454232	1.29306880108276	0.0290333594008652	5.43994770044936	5.63517492869417
PF3D7_1203400	2.83068725315276	1.54050810317755	2.9396196138174	4.7545534437884	3.19886397631132	4.5580319521632	5.89938600421982	6.08802292378965	0.293068800494026	0.0290333594008652	5.34041202687471	5.88671369567852
PF3D7_1203600	2.83068725315276	2.54050810317755	4.01000894191476	3.93741750065826	1.78382647708485	-1.24932296817954	4.53373653223781	3.82749537353109	1.29306880108276	1.6139958596507	4.70298210606159	4.7022891243416
PF3D7_1203800	5.96819077689348	5.65598532059748	5.76743863862807	5.92013950920373	5.36878897787584	5.12571646155583	5.61465652730429	5.2083171574395	5.19995939649504	5.38658536360511	7.62051994598366	7.85756734998915
PF3D7_1205000	2.83068725315276	3.27747369734375	5.74697453590187	6.75455344352117	4.44679148956472	3.50556453258663	5.81057673743845	5.73438596913961	4.38053164195215	4.2769608722491	5.23349682293081	5.63517492869417
PF3D7_1205600	4.31611408014918	4.54050810317755	6.93057447411624	8.14872642312228	2.52079207116726	2.07260512533593	6.6014811386565	6.62623716525964	0.293068800494026	3.19895836037186	3.53305710517319	4.05021242768274
