PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0918000	34.52440427	78.06300336	6.236133167	8.57724225	5.787968638	2.366668277
PF3D7_0918100	79.78973431	70.76739557	18.7083995	18.92908635	2.893984319	2.366668277
PF3D7_0918200	9.973716789	17.5094587	19.59927567	24.25289188	11.57593728	9.46667311
PF3D7_0918300	94.366705	41.58496441	97.10550218	107.6591786	0	0
PF3D7_0918400	20.71464256	65.66047012	7.127009334	2.070368819	2.893984319	0
PF3D7_0918500	9.206507805	26.99374883	1085.087171	1174.490654	295.1864005	257.9668422
PF3D7_0918600	6.13767187	21.15726259	14.25401867	13.90104779	0	0
PF3D7_0918700	25.31789646	9.484290128	0.890876167	1.478834871	743.75397	688.7004687
PF3D7_0918800	42.19649411	6.566047012	15.14489483	26.02749373	14.4699216	23.66668277
PF3D7_0918900	180.2941112	261.1827589	220.0464132	170.9533111	662.7224091	584.5670645
PF3D7_0919000	304.5819665	149.5599597	471.2734922	430.9324813	104.1834355	59.16670694
PF3D7_0919100	104.3404218	80.2516857	107.7960162	90.50469409	60.7736707	54.43337038
PF3D7_0919200	14.57697069	48.8805722	4.454380834	2.957669742	0	2.366668277
PF3D7_0919300	9.206507805	15.32077636	5.345257001	6.802640406	952.120841	892.2339406
PF3D7_0919400	32.9899863	90.46553661	34.7441705	42.59044428	14.4699216	28.40001933
PF3D7_0919500	3.068835935	2.918243116	1.781752334	0.887300922	5174.443963	5187.736864
PF3D7_0919600	6.13767187	10.94341169	22.27190417	14.78834871	5.787968638	21.3000145
PF3D7_0919700	17.64580663	2.188682337	15.14489483	16.56295055	0	2.366668277
PF3D7_0919800	79.02252533	143.7234735	113.1412732	104.4057419	463.0374911	463.8669824
PF3D7_0919900	223.2578143	552.2775098	48.99818917	72.75867564	648.2524875	523.0336893
PF3D7_0920000	12.27534374	35.0189174	142.5401867	160.8972339	306.7623378	222.4668181
