Gene.Name.or.Symbol	logFC	test	stage
MYSTA	-0.496485904	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IV2	-1.336240814	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IV1	-0.287718139	0	Brady_4dpi_vitro_vs_Oocyst_0d
HDAC5	0.082617101	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA7	-0.876121766	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA5	-0.909681531	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA4	0.737947523	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA3	1.581144027	1	Brady_8dpi_vitro_vs_Oocyst_0d
MYSTB	-0.710973977	-1	Brady_8dpi_vitro_vs_Oocyst_0d
SAG2C	1.205027704	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IV5	-0.258072845	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X7	-0.287098996	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X8	-0.055248933	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X10	0.60164189	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X11	-0.621884977	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XI5	-0.835853353	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2V1	-0.041601539	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X4	0.778449654	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X3	-0.464749479	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X2	0.54050112	1	Brady_8dpi_vitro_vs_Oocyst_0d
SIR2	-0.267793898	0	Brady_8dpi_vitro_vs_Oocyst_0d
HDAC3	0.641272092	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2X1	-0.101594702	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIII2	-0.366766799	0	Brady_8dpi_vitro_vs_Oocyst_0d
SAG1	1.716558569	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VI1	1.392278781	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VI2	-0.037385062	0	Brady_8dpi_vitro_vs_Oocyst_0d
GCN5B	0.074280535	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XII3	-0.840210835	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XII4	0.076469348	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XII6	1.010220184	1	Brady_8dpi_vitro_vs_Oocyst_0d
HDAC2	0.777141611	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2III1	-0.561512838	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2III2	-0.647378694	-1	Brady_8dpi_vitro_vs_Oocyst_0d
GCN5A	-0.124291657	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIB3	1.529511165	1	Brady_8dpi_vitro_vs_Oocyst_0d
BAG1	4.272676369	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIII7	0.917736595	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIII6	0.3986079	0	Brady_8dpi_vitro_vs_Oocyst_0d
SAG2A	1.873131843	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIII3	0.187189281	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA2	1.828823566	1	Brady_8dpi_vitro_vs_Oocyst_0d
HDAC1	-0.968361855	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA8	0.399660827	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2VIIA9	-0.736061584	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IX4	0.558340782	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IX5	-2.0603719	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IX6	-1.389152454	-1	Brady_8dpi_vitro_vs_Oocyst_0d
LDH2	3.297202268	1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2III3	-4.136777879	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XI1	-0.499458798	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2XI4	-0.805480732	-1	Brady_8dpi_vitro_vs_Oocyst_0d
MYSTA	-0.457883441	0	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IV2	-0.868986771	-1	Brady_8dpi_vitro_vs_Oocyst_0d
AP2IV1	-0.52660919	-1	Brady_8dpi_vitro_vs_Oocyst_0d
HDAC5	0.645019192	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA7	-0.70736905	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA5	-1.009814556	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA4	0.410646354	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA3	1.307196555	1	Brady_21dpi_vivo_vs_Oocyst_0d
MYSTB	-0.135321444	0	Brady_21dpi_vivo_vs_Oocyst_0d
SAG2C	1.399471294	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IV5	-0.464639761	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X7	-0.111657864	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X8	0.562548454	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X10	0.541226608	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X11	-0.330940844	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XI5	-0.604611948	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2V1	0.27879574	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X4	0.489063588	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X3	-0.612184952	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X2	0.194662226	0	Brady_21dpi_vivo_vs_Oocyst_0d
SIR2	-0.132845666	0	Brady_21dpi_vivo_vs_Oocyst_0d
HDAC3	0.501335625	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2X1	0.72064648	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIII2	0.630881181	1	Brady_21dpi_vivo_vs_Oocyst_0d
SAG1	-0.74544491	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VI1	2.414571237	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VI2	0.013982933	0	Brady_21dpi_vivo_vs_Oocyst_0d
GCN5B	-0.708965896	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XII3	-0.057386183	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XII4	0.148267443	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XII6	0.415088323	0	Brady_21dpi_vivo_vs_Oocyst_0d
HDAC2	0.42255955	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2III1	0.307908917	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2III2	-0.462688333	0	Brady_21dpi_vivo_vs_Oocyst_0d
GCN5A	-0.382591847	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIB3	1.368124543	1	Brady_21dpi_vivo_vs_Oocyst_0d
BAG1	4.928058089	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIII7	1.140373241	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIII6	0.102257292	0	Brady_21dpi_vivo_vs_Oocyst_0d
SAG2A	0.682644888	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIII3	0.372293796	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA2	2.975070722	1	Brady_21dpi_vivo_vs_Oocyst_0d
HDAC1	-0.50810964	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA8	0.20411792	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2VIIA9	-0.169618691	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IX4	1.711611512	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IX5	-1.541434426	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IX6	-0.732902051	-1	Brady_21dpi_vivo_vs_Oocyst_0d
LDH2	4.750833217	1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2III3	-3.331447417	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XI1	-0.612594454	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2XI4	0.035677191	0	Brady_21dpi_vivo_vs_Oocyst_0d
MYSTA	-0.398161488	0	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IV2	-1.308429423	-1	Brady_21dpi_vivo_vs_Oocyst_0d
AP2IV1	-0.55898005	-1	Brady_21dpi_vivo_vs_Oocyst_0d
