Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_286560	76.m02657	N/A	0.867147191000002	1	1.363975754	1	1.988334775	1	1.9251209185	1	2.3904638395	1	2.655282745	1
TGME49_266080	57.m01772	N/A	0.620325869000001	1	0.591225785000001	1	2.3875314585	1	2.231175019	1	2.6613254325	1	2.6571043615	1
TGME49_267130	57.m01839	SRS38A	3.0776907065	1	1.5916421175	1	0.401631434500002	0	1.904591181	1	1.8591228275	1	2.2832318225	1
TGME49_213580	31.m01833	N/A	-2.026643303	-1	-0.110022755499998	0	3.022621199	1	3.5613640075	1	3.0295952455	1	3.6157319115	1
TGME49_258660	55.m00092	ROP6	2.226123774	1	1.482440259	1	2.123082336	1	2.0050590065	1	1.90676488	1	1.2877081345	1
TGME49_290970	80.m02300	N/A	-0.514535570000001	0	-0.934994278499999	-1	1.9305358375	1	3.577092019	1	3.5626450555	1	3.366997462	1
TGME49_308020	551.m00001	SAG3	3.562197405	1	4.293328993	1	1.668767158	1	0.346166840500001	0	0.7910836075	1	0.3260643265	0
TGME49_244250	49.m03399	N/A	2.438575392	1	1.4580981555	1	1.96534016	1	1.8235232445	1	1.6889121495	1	1.6125386575	1
TGME49_201170	20.m03648	N/A	2.4454987	1	1.3821002185	1	2.175080001	1	1.8117829565	1	1.5374982035	1	1.5908528215	1
TGME49_278700	65.m01959	N/A	3.2142030255	1	1.8268869555	1	1.26321768	1	1.223700966	1	1.1432438745	1	2.2667027595	1
TGME49_281600	74.m00981	N/A	4.39030191	1	2.5030952285	1	0.999308470999999	1	1.147387451	1	0.700864215999999	1	1.185760425	1
TGME49_247530	50.m05622	N/A	-0.152945015499999	0	1.1448635535	1	2.961579579	1	1.5809467355	1	2.38668558	1	2.9264553075	1
TGME49_227600	42.m03575	RPL34	-0.633192899	-1	0.0383085295000001	0	2.762960982	1	2.551063352	1	2.8913407895	1	3.20296033	1
TGME49_232270	44.m02715	N/A	2.32703126	1	2.5406162245	1	0.660817874000002	0	1.4862343295	1	2.0574086525	1	1.7387314635	1
