	GSM802515	GSM802516	GSM802517	GSM802518	GSM802519	GSM802520	GSM802521	GSM802522	GSM802523	GSM802524	GSM802525	GSM802526	GSM802527	GSM802528
583.m05450_at	4.928056005	4.747916946	4.066262539	3.500116348	4.101970919	4.121605484	4.65976279	4.600531801	4.301064055	4.320013712	4.240459532	4.174080546	4.193408573	4.588987115
583.m05451_at	3.543200731	3.340292344	3.636269464	3.548721952	3.78015163	3.692467745	3.594984112	4.105483827	4.041695369	3.928820299	3.419985446	3.681206206	3.752960205	3.607119528
583.m05452_at	3.621498657	3.61276532	4.353100739	3.753695431	4.001442362	3.604624774	3.32417994	3.438328192	3.652843688	3.590101375	3.515339704	3.348046801	3.009693496	3.400278313
583.m05453_at	6.552501124	5.986863337	4.608047292	3.417806243	4.53748987	4.560087787	4.405718279	4.71265681	4.567478408	4.531027182	4.810929278	4.616489188	4.723695349	5.080205184
583.m05454_at	4.675071068	4.377986318	3.854013439	3.596375411	4.270301155	4.3949657	4.117530664	4.168952114	4.111415916	4.093217545	4.138395059	3.65483494	3.989150232	3.989008889
583.m05457_at	3.757954679	4.098088733	4.485183925	4.088071969	4.109096766	3.941591212	3.77926282	3.867354952	4.090066901	4.090836008	3.673006654	3.507845306	3.732159035	3.98370439
583.m05460_at	3.846224075	3.472994609	4.055265879	4.378462679	3.748162201	3.650256332	4.112676014	3.953577115	4.071642995	4.163215249	3.679333525	3.50538776	3.721801931	3.642195323
583.m05461_at	3.498122459	3.437184625	2.992718338	3.001448109	3.114287907	3.388740713	3.40023303	3.064792894	3.27894311	3.455219809	3.738387913	3.361506788	3.277841316	3.233999387
583.m05465_at	4.122184953	4.751904832	3.54320699	3.38119901	3.631078482	3.578721705	3.851569153	3.551818096	3.573310836	3.596504915	3.644244356	3.724299681	3.515865551	3.731135001
583.m05466_at	5.439909861	5.860574944	4.24007589	4.220935118	4.224186608	4.55817405	4.289670947	4.36319771	3.960174811	4.209866561	4.187972896	4.285646019	3.951475103	4.101893724
583.m05468_at	3.434199004	3.576849382	3.245557696	3.386099742	3.301514225	3.795178123	4.115079775	3.919408165	4.472282186	4.338477417	4.178476802	4.281931819	4.473463134	4.594305206
583.m05469_at	4.456109456	4.569716637	4.529356362	4.530818701	4.182760903	4.40108808	4.305030125	4.024767895	4.06240868	3.873839642	3.916953638	4.184405712	3.898976754	3.904608128
583.m05471_at	4.333518489	4.239778161	3.957056077	4.092202893	4.201966571	4.150674876	3.940060384	3.492609678	3.80815897	3.877658682	3.899543563	4.205782247	3.726300511	3.995602226
583.m05472_at	3.941592474	3.786819377	3.817890444	3.615382832	3.217974136	3.123184679	4.367217187	4.649301973	4.323751603	4.506208575	3.827900785	3.700948209	4.483744311	4.633297061
583.m05473_at	3.796048902	3.553892878	4.318675807	4.556016628	4.943048226	4.283572091	4.494134169	4.479240844	4.278723175	4.34326641	4.224049242	4.091344103	4.245365595	4.288926693
583.m05473_x_at	4.460231268	4.604960011	4.632852011	4.704507958	4.403911977	4.486188435	5.40668243	5.222860288	4.954948745	4.732121867	4.539335012	4.701537832	4.671091305	4.87097456
583.m05475_at	4.251493173	4.712508968	4.882076342	5.243201029	4.908083084	4.886210213	5.313595411	5.547398341	5.142364091	4.778261983	4.860675383	4.91820634	4.809137977	4.780751661
583.m05476_at	3.585697353	3.702081495	4.195512635	3.257043878	3.710560627	3.551374083	3.529786274	3.519598044	3.705022109	3.730003076	3.317502482	3.542086316	3.889006679	3.895015976
583.m05477_at	4.045308759	3.78861787	3.826045613	4.32935902	4.076441879	4.118533994	4.214520646	4.662420667	4.047152613	3.858545469	3.584987123	4.013056109	3.997224127	3.877641829
583.m05478_at	4.300905034	4.711685011	3.006678878	3.296406306	2.486563123	3.208653363	8.289897317	7.957873792	6.338220686	6.1943968	7.847997012	7.914374876	8.174705855	8.150921348
583.m05479_at	3.700120491	3.423885895	3.696553416	4.618927881	4.567276049	4.504087044	3.39655251	3.51921491	3.84733604	3.641170581	2.969395411	3.683843334	3.543994206	3.829736371
583.m05480_at	3.4955529	4.032836982	3.531225438	3.547284675	3.490256617	3.023575112	3.265604151	3.256469757	3.661057751	3.045897776	4.025810632	3.778195927	3.849972582	3.545981737
583.m05481_at	3.37388246	3.442138272	3.224123522	3.878501236	3.759986457	3.569609219	3.073764368	3.385010811	2.937385107	3.211866158	3.351977452	3.136127496	3.40418785	3.505219469
583.m05482_at	4.004494344	5.00837938	3.912844911	3.331711045	4.401529381	4.102925653	4.035801295	3.787840177	3.951059375	3.81121421	4.030950848	3.744163215	3.76005613	4.090550183
583.m05483_at	4.242188283	4.182103252	5.081436373	4.861824799	5.170225389	5.325858897	5.685171985	5.835332598	5.552392305	5.442719938	5.527094777	5.590238195	5.68637722	5.671919001
583.m05484_at	3.428402856	3.431938639	3.75355521	4.074563861	3.699258589	3.756991818	3.267173606	3.556550923	3.564080813	3.505650481	3.266353857	3.81208773	3.581525409	3.60864775
583.m05485_at	4.389225563	4.117817913	5.576696357	6.823006361	5.556934022	5.571116488	5.173286363	4.65061997	4.549715016	4.478149586	4.029968825	3.662051037	4.284754865	4.013285718
583.m05487_at	3.699045578	3.163380019	3.776397024	3.438038745	3.145124573	3.535290393	4.272397974	3.896639641	4.316420081	4.302180292	4.288781337	3.895091926	3.85312194	4.400440561
583.m05488_at	5.86020099	5.954890529	4.791881369	4.084498337	3.940219365	4.418046176	3.562966908	3.83684742	3.882910654	3.787687354	3.438713078	3.514835271	3.395344736	3.393132812
583.m05490_at	4.135856041	3.740646163	4.168913473	4.366503993	3.187898752	3.692145342	4.256790741	4.385308954	4.537454598	4.833248785	4.737713579	4.448880641	4.667013703	4.837210709
583.m05491_at	4.454030156	4.608305642	3.639629948	3.554263383	4.59975553	5.079504082	4.324728163	4.360279124	4.435827633	4.232780305	4.188065913	4.205519024	4.498035191	4.400247532
583.m05492_at	4.432375601	4.052383651	3.560202223	3.419555118	4.719736471	4.803031731	3.803411139	3.873455428	3.9144505	3.788546608	4.022097448	4.142948657	4.236075809	4.222841424
583.m05493_at	3.875034243	3.480349051	3.698153833	4.168463226	3.983978957	3.88079497	4.254877107	4.27951778	3.884064834	4.001185933	4.475844817	4.491268967	4.468943342	4.663480722
583.m05496_at	3.417436596	2.788369394	3.223847712	3.419670455	2.648684223	2.983207849	2.651696137	2.949235923	3.240003775	3.226287489	3.444796868	2.958803493	2.769073154	2.837483966
583.m05497_at	3.753727118	3.486811572	3.514608497	3.17367728	3.663724795	3.804306858	3.246083415	3.149955085	3.221965852	3.45275661	3.192662566	3.137316636	3.104539129	3.22138978
583.m05498_at	4.295484609	4.085932785	4.879499588	4.207010333	3.772506892	3.660969692	3.323822717	4.122320814	4.505520184	4.224171459	4.166861412	4.468629571	4.140589708	3.927032338
583.m05499_at	4.848247869	5.088026404	4.720197488	4.699918747	3.786432553	4.063516095	4.896035846	4.103183672	4.643606499	4.579571753	4.45229429	4.34361168	4.154102563	4.367484601
583.m05501_at	4.418174065	3.898848897	3.21724264	3.161012516	3.98460002	4.143394736	3.892303268	4.14095288	4.193740943	3.982434749	4.305239873	3.865949182	4.307507329	4.833990692
583.m05503_at	4.276943654	3.940019759	4.028965005	4.00165262	4.153405981	4.089818273	3.785193645	3.941684779	3.813643142	4.01967099	3.630670804	3.940357014	4.136341539	3.78161646
583.m05504_at	4.094339189	4.454467252	3.580830566	3.490720719	3.877914215	3.584775736	3.53703846	3.411061683	3.709661215	3.514762173	3.265057396	3.443310861	3.646624381	3.760357359
583.m05505_at	4.025601996	4.090577697	4.478214901	3.539296352	3.84872545	3.682983879	3.756407412	3.936001986	4.347107231	4.207988344	4.628649915	4.392751834	4.094387909	4.11302553
583.m05506_at	3.499121694	3.738735719	3.296578369	3.988246137	3.526091468	3.600030801	3.827366732	3.569264655	3.778908843	3.627449428	3.103038848	3.807308784	3.829020465	3.670242865
583.m05507_at	3.417758068	3.403717525	3.51915829	3.757139836	3.298399474	3.876965345	3.420581686	3.351877658	3.472474177	3.597032273	3.126338608	3.774761973	3.239037667	3.294783355
583.m05508_at	3.791104253	3.741248295	3.234146885	3.708760717	3.548020218	3.76544354	3.987670306	4.102766668	3.180625659	3.571924986	3.690785242	3.957512804	3.682442365	3.610525058
583.m05509_at	4.361844015	4.637790538	3.039003312	3.100606037	4.196425037	3.631809007	3.451258152	3.970810803	4.416822956	4.161063583	4.090773078	4.578964614	4.153343027	4.448964365
583.m05510_at	3.666091501	3.390401578	3.891381044	3.546408968	3.959777993	3.663923365	3.69718129	3.703655753	3.789162815	3.704897635	3.559455	3.286020597	3.823144117	3.655711585
583.m05510_x_at	2.984501066	3.139722593	3.570326003	3.408620265	3.98225409	3.569535983	3.307771478	3.099966651	3.523131061	3.677585283	3.245728087	3.357097662	3.44960444	2.944525615
583.m05513_at	6.306143396	6.049417633	4.66405132	4.119794263	4.533911852	4.4587587	4.00286464	3.80309379	3.644063625	3.49304934	3.728468097	4.15073207	3.898482227	3.921057496
583.m05514_at	8.635999683	8.728618459	9.013109791	8.651973951	8.363524671	8.371445682	7.427967724	7.303908841	7.359243092	7.541432766	7.171085427	7.059409793	7.080175958	7.225758363
583.m05515_at	4.38648872	4.518216853	7.89546875	7.076817426	7.022017393	6.905292553	6.322626316	6.426073631	4.76893794	5.128900874	4.739174893	4.643007031	4.369182795	4.417538324
583.m05516_at	5.332395805	5.187626345	4.688718659	3.501242155	4.783768037	4.471400197	3.646632743	3.900592094	3.2647682	3.295537924	3.033036745	3.349417726	3.371421052	2.765653084
583.m05517_at	3.995629621	3.979259716	4.515464709	4.839322228	4.598683184	4.451498904	4.156199259	4.423151999	4.064990755	4.314346917	3.923077763	4.118062592	4.039043308	4.353609229
583.m05520_at	3.583295632	3.255372272	3.575448623	3.546552607	3.407798056	4.111970572	3.366240523	3.181896471	3.472550188	3.62404811	3.492074863	3.071572263	3.336900457	3.564359417
583.m05521_at	5.970798899	6.74854476	5.176578347	5.229525336	4.872210019	4.819793422	5.05105478	4.816587902	4.47249165	4.453860888	4.532937214	4.682660663	4.621678808	4.498198073
583.m05522_at	6.228999237	6.653734477	4.805690793	3.942436841	5.07279979	5.238812817	5.394347054	4.874593818	4.444101733	4.709778034	5.460469643	4.940632919	5.008584331	4.871666388
583.m05523_at	5.035332566	4.673173459	4.09182811	4.09578702	4.310985106	4.232436226	7.834414837	8.117136743	4.689543266	4.605793009	6.443430488	6.498633182	7.400058421	7.280222314
583.m05524_at	4.216307294	4.532830411	5.046514997	5.576124323	5.473640115	5.405637054	4.726386878	4.55660325	4.968064246	5.145451115	4.537226144	4.578660709	4.863046333	4.788908122
583.m05525_at	5.175875422	5.354841939	4.278733701	3.755227034	3.968277734	4.179868941	4.20212838	4.7022536	4.093855704	3.898547466	4.543787638	4.325552926	4.28624021	4.053554369
583.m05526_at	4.112324406	3.546231034	3.417154472	3.59324781	3.337683032	3.075847815	4.463468416	4.18096803	4.657408223	4.443715613	4.746398395	4.770197864	4.779688103	4.890006895
583.m05527_at	3.962260843	4.414726808	3.902636827	4.045265478	3.981629176	4.056622858	3.444995667	3.511512276	3.693419691	3.582783736	3.546381857	3.448290573	3.506744778	3.675674639
583.m05528_at	4.172513203	4.069552177	4.233914454	4.285010628	4.222781086	4.182680572	3.924832984	3.825970591	4.325836468	4.22501288	3.817015995	4.011674702	3.873860967	4.225446249
